attempts,clock,date,game_id,interruptions,makes,opponent,period,player_id,player_name,result_sequence,segment,trip_id,trip_length,trip_type,venue
2,3:06,2025-11-01,401809999,,1,IND,4,3975,Stephen Curry,M-X,Regular Season,401809999-401809999657,2,shooting,away
1,56.5,2025-11-01,401809999,substitution,0,IND,4,6430,Jimmy Butler III,X,Regular Season,401809999-401809999688,1,and-one,away
2,11:39,2025-11-05,401810024,,2,PHX,2,4432171,Moses Moody,M-M,Regular Season,401810024-401810024176,2,shooting,home
1,7:14,2025-11-05,401810024,,1,PHX,2,4431684,Trayce Jackson-Davis,M,Regular Season,401810024-401810024234,1,and-one,home
2,6:30,2025-11-05,401810024,,2,PHX,2,4592714,Pat Spencer,M-M,Regular Season,401810024-401810024256,2,shooting,home
1,7:22,2025-11-05,401810024,substitution,1,PHX,3,4433247,Jonathan Kuminga,M,Regular Season,401810024-401810024412,1,and-one,home
2,4:24,2025-11-05,401810024,,2,PHX,3,3975,Stephen Curry,M-M,Regular Season,401810024-401810024452,2,shooting,home
2,1:04,2025-11-05,401810024,review/challenge,1,PHX,3,4432171,Moses Moody,X-M,Regular Season,401810024-401810024499,2,shooting,home
2,9:54,2025-11-05,401810024,,2,PHX,4,4432171,Moses Moody,M-M,Regular Season,401810024-401810024548,2,shooting,home
2,8:51,2025-11-05,401810024,,2,PHX,4,4709138,Brandin Podziemski,M-M,Regular Season,401810024-401810024560,2,shooting,home
1,4:45,2025-11-05,401810024,,1,PHX,4,2990984,Buddy Hield,M,Regular Season,401810024-401810024618,1,technical,home
2,3:53,2025-11-05,401810024,,0,PHX,4,6589,Draymond Green,X-X,Regular Season,401810024-401810024628,2,technical,home
2,2:48,2025-11-05,401810024,,2,PHX,4,3975,Stephen Curry,M-M,Regular Season,401810024-401810024645,2,shooting,home
1,2:48,2025-11-05,401810024,,1,PHX,4,3975,Stephen Curry,M,Regular Season,401810024-401810024648,1,technical,home
2,7:01,2025-11-06,401810036,,2,SAC,1,4897262,Will Richard,M-M,Regular Season,401810036-40181003647,2,shooting,away
2,6:11,2025-11-06,401810036,timeout;substitution,2,SAC,1,4897262,Will Richard,M-M,Regular Season,401810036-40181003668,2,shooting,away
2,7:56,2025-11-06,401810036,,1,SAC,2,4433247,Jonathan Kuminga,M-X,Regular Season,401810036-401810036232,2,shooting,away
2,5:49,2025-11-06,401810036,,2,SAC,2,4433247,Jonathan Kuminga,M-M,Regular Season,401810036-401810036260,2,shooting,away
2,41.9,2025-11-06,401810036,,1,SAC,2,4433247,Jonathan Kuminga,M-X,Regular Season,401810036-401810036323,2,shooting,away
1,6:23,2025-11-06,401810036,substitution,0,SAC,3,4897262,Will Richard,X,Regular Season,401810036-401810036433,1,and-one,away
2,5:49,2025-11-06,401810036,,1,SAC,3,4897262,Will Richard,X-M,Regular Season,401810036-401810036441,2,shooting,away
2,4:23,2025-11-06,401810036,,2,SAC,3,4433247,Jonathan Kuminga,M-M,Regular Season,401810036-401810036487,2,shooting,away
2,2:38,2025-11-06,401810036,,2,SAC,3,2990984,Buddy Hield,M-M,Regular Season,401810036-401810036516,2,shooting,away
2,9:06,2025-11-06,401810036,,2,SAC,4,4709138,Brandin Podziemski,M-M,Regular Season,401810036-401810036609,2,shooting,away
1,7:34,2025-11-06,401810036,,1,SAC,4,4432171,Moses Moody,M,Regular Season,401810036-401810036633,1,and-one,away
1,5:57,2025-11-06,401810036,,1,SAC,4,4432171,Moses Moody,M,Regular Season,401810036-401810036654,1,technical,away
2,3:12,2025-11-06,401810036,,2,SAC,4,4432171,Moses Moody,M-M,Regular Season,401810036-401810036696,2,shooting,away
1,6:34,2025-11-08,401809779,substitution,1,DEN,1,6430,Jimmy Butler III,M,Regular Season,401809779-40180977960,1,and-one,away
2,10:54,2025-11-08,401809779,,2,DEN,2,4592714,Pat Spencer,M-M,Regular Season,401809779-401809779154,2,shooting,away
1,43.4,2025-11-08,401809779,,1,DEN,2,6430,Jimmy Butler III,M,Regular Season,401809779-401809779280,1,and-one,away
2,3:01,2025-11-08,401809779,,1,DEN,3,6430,Jimmy Butler III,X-M,Regular Season,401809779-401809779405,2,shooting,away
1,1:43,2025-11-08,401809779,,1,DEN,3,6430,Jimmy Butler III,M,Regular Season,401809779-401809779425,1,and-one,away
2,29.4,2025-11-08,401809779,,2,DEN,3,6430,Jimmy Butler III,M-M,Regular Season,401809779-401809779436,2,shooting,away
2,6:00,2025-11-08,401809779,,1,DEN,4,4592714,Pat Spencer,X-M,Regular Season,401809779-401809779541,2,shooting,away
1,5:45,2025-11-08,401809779,,1,DEN,4,4897262,Will Richard,M,Regular Season,401809779-401809779550,1,and-one,away
1,2:27,2025-11-08,401809779,,1,DEN,4,4431684,Trayce Jackson-Davis,M,Regular Season,401809779-401809779598,1,and-one,away
2,12.5,2025-11-08,401809779,,1,DEN,4,4997536,Gui Santos,X-M,Regular Season,401809779-401809779636,2,shooting,away
2,9:10,2025-11-10,401810051,,0,IND,1,4433247,Jonathan Kuminga,X-X,Regular Season,401810051-40181005132,2,shooting,home
2,7:10,2025-11-10,401810051,,2,IND,1,4433247,Jonathan Kuminga,M-M,Regular Season,401810051-40181005160,2,shooting,home
2,10:29,2025-11-10,401810051,,2,IND,2,4592714,Pat Spencer,M-M,Regular Season,401810051-401810051195,2,shooting,home
2,7:40,2025-11-10,401810051,,1,IND,2,4593016,Quinten Post,M-X,Regular Season,401810051-401810051238,2,shooting,home
2,5:59,2025-11-10,401810051,substitution;review/challenge,1,IND,2,4709138,Brandin Podziemski,X-M,Regular Season,401810051-401810051272,2,flagrant,home
2,5:13,2025-11-10,401810051,,2,IND,2,4897262,Will Richard,M-M,Regular Season,401810051-401810051286,2,flagrant,home
2,3:16,2025-11-10,401810051,,2,IND,2,4897262,Will Richard,M-M,Regular Season,401810051-401810051317,2,shooting,home
2,2:37,2025-11-10,401810051,,1,IND,2,4433247,Jonathan Kuminga,M-X,Regular Season,401810051-401810051325,2,shooting,home
1,10:37,2025-11-10,401810051,,1,IND,3,4593016,Quinten Post,M,Regular Season,401810051-401810051391,1,and-one,home
2,8:33,2025-11-10,401810051,,2,IND,3,4709138,Brandin Podziemski,M-M,Regular Season,401810051-401810051415,2,shooting,home
2,7:14,2025-11-10,401810051,,0,IND,3,6430,Jimmy Butler III,X-X,Regular Season,401810051-401810051429,2,shooting,home
2,5:03,2025-11-10,401810051,,2,IND,3,4593016,Quinten Post,M-M,Regular Season,401810051-401810051474,2,shooting,home
2,3:39,2025-11-10,401810051,,1,IND,3,6430,Jimmy Butler III,X-M,Regular Season,401810051-401810051499,2,shooting,home
2,2:42,2025-11-10,401810051,timeout;substitution,2,IND,3,2990984,Buddy Hield,M-M,Regular Season,401810051-401810051524,2,shooting,home
2,1:03,2025-11-10,401810051,,1,IND,3,4432171,Moses Moody,M-X,Regular Season,401810051-401810051541,2,shooting,home
1,4.7,2025-11-10,401810051,substitution,1,IND,3,4432171,Moses Moody,M,Regular Season,401810051-401810051567,1,and-one,home
2,10:08,2025-11-10,401810051,,1,IND,4,4897262,Will Richard,M-X,Regular Season,401810051-401810051605,2,shooting,home
2,7:53,2025-11-10,401810051,,2,IND,4,4709138,Brandin Podziemski,M-M,Regular Season,401810051-401810051644,2,shooting,home
2,5:00,2025-11-10,401810051,,2,IND,4,4897262,Will Richard,M-M,Regular Season,401810051-401810051696,2,shooting,home
1,1:32,2025-11-10,401810051,,0,IND,4,4431684,Trayce Jackson-Davis,X,Regular Season,401810051-401810051750,1,and-one,home
2,4:30,2025-11-12,401810065,,2,OKC,1,6430,Jimmy Butler III,M-M,Regular Season,401810065-401810065105,2,shooting,away
1,4:17,2025-11-12,401810065,,1,OKC,1,6430,Jimmy Butler III,M,Regular Season,401810065-401810065113,1,and-one,away
2,1:23,2025-11-12,401810065,,2,OKC,1,4432171,Moses Moody,M-M,Regular Season,401810065-401810065143,2,shooting,away
2,8:49,2025-11-12,401810065,,2,OKC,2,6430,Jimmy Butler III,M-M,Regular Season,401810065-401810065228,2,shooting,away
2,19.8,2025-11-12,401810065,,1,OKC,2,4433247,Jonathan Kuminga,X-M,Regular Season,401810065-401810065353,2,shooting,away
3,11:50,2025-11-12,401810065,,2,OKC,3,3975,Stephen Curry,M-M-X,Regular Season,401810065-401810065380,3,technical,away
2,9:17,2025-11-12,401810065,,2,OKC,3,6430,Jimmy Butler III,M-M,Regular Season,401810065-401810065410,2,shooting,away
1,8:54,2025-11-12,401810065,,1,OKC,3,6430,Jimmy Butler III,M,Regular Season,401810065-401810065417,1,and-one,away
3,2:18,2025-11-12,401810065,timeout,2,OKC,3,2990984,Buddy Hield,X-M-M,Regular Season,401810065-401810065518,3,shooting,away
2,1:38,2025-11-12,401810065,,2,OKC,3,4709138,Brandin Podziemski,M-M,Regular Season,401810065-401810065529,2,shooting,away
1,12:00,2025-11-12,401810065,,0,OKC,4,4897262,Will Richard,X,Regular Season,401810065-401810065564,1,technical,away
2,11:27,2025-11-12,401810065,,2,OKC,4,4592714,Pat Spencer,M-M,Regular Season,401810065-401810065573,2,technical,away
2,7:37,2025-11-12,401810065,,0,OKC,4,4431684,Trayce Jackson-Davis,X-X,Regular Season,401810065-401810065619,2,shooting,away
2,5:24,2025-11-12,401810065,,2,OKC,4,4431684,Trayce Jackson-Davis,M-M,Regular Season,401810065-401810065643,2,shooting,away
2,3:37,2025-11-12,401810065,,2,OKC,4,4592714,Pat Spencer,M-M,Regular Season,401810065-401810065673,2,shooting,away
2,11:47,2025-11-13,401810075,,2,SA,2,6589,Draymond Green,M-M,Regular Season,401810075-401810075159,2,shooting,away
2,11:16,2025-11-13,401810075,,1,SA,2,6430,Jimmy Butler III,M-X,Regular Season,401810075-401810075166,2,shooting,away
1,5:31,2025-11-13,401810075,substitution,1,SA,2,3975,Stephen Curry,M,Regular Season,401810075-401810075253,1,and-one,away
2,4:42,2025-11-13,401810075,,2,SA,2,2990984,Buddy Hield,M-M,Regular Season,401810075-401810075266,2,shooting,away
2,3:15,2025-11-13,401810075,,1,SA,2,3975,Stephen Curry,X-M,Regular Season,401810075-401810075284,2,shooting,away
2,1:54,2025-11-13,401810075,,1,SA,2,6430,Jimmy Butler III,M-X,Regular Season,401810075-401810075305,2,shooting,away
2,11:10,2025-11-13,401810075,,2,SA,3,3975,Stephen Curry,M-M,Regular Season,401810075-401810075347,2,shooting,away
2,7:36,2025-11-13,401810075,,2,SA,3,3975,Stephen Curry,M-M,Regular Season,401810075-401810075402,2,shooting,away
2,6:46,2025-11-13,401810075,,2,SA,3,3975,Stephen Curry,M-M,Regular Season,401810075-401810075423,2,shooting,away
3,6:20,2025-11-13,401810075,,3,SA,3,3975,Stephen Curry,M-M-M,Regular Season,401810075-401810075429,3,shooting,away
2,5:34,2025-11-13,401810075,,2,SA,3,6589,Draymond Green,M-M,Regular Season,401810075-401810075442,2,shooting,away
2,2:16,2025-11-13,401810075,,2,SA,3,6430,Jimmy Butler III,M-M,Regular Season,401810075-401810075493,2,shooting,away
2,1:53,2025-11-13,401810075,,2,SA,3,6430,Jimmy Butler III,M-M,Regular Season,401810075-401810075499,2,shooting,away
